Z(5, 8; 2, 2): Max: 17; Mean: 16.5; Variance: 0.25; Size: 10; Time: 10.2056 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 5 ; iter: 3;
Z(5, 9; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 10; Time: 9.5348 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 10; 2, 2): Max: 20; Mean: 19.1; Variance: 0.09; Size: 10; Time: 10.5891 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 1 ; iter: 3;
Z(5, 11; 2, 2): Max: 21; Mean: 20.9; Variance: 0.09; Size: 10; Time: 10.1725 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(5, 12; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 10; Time: 11.0405 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 13; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 10; Time: 10.5133 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 14; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 10; Time: 10.7143 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 15; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 10; Time: 10.5115 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 16; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 10; Time: 10.5889 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 17; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 10; Time: 10.882 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 18; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 10; Time: 10.4688 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 19; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 10; Time: 10.9998 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 20; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 10; Time: 12.9792 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 21; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 10; Time: 11.8791 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(5, 22; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 10; Time: 11.6988 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
