Z(5, 10; 2, 2): Max: 20; Mean: 19.396; Variance: 0.257184; Size: 1000; Time: 369.006 ms; Top5_Histogram_(relative_to_max): 0 0 9 586 405 ; iter: 200;
Z(5, 11; 2, 2): Max: 21; Mean: 20.69; Variance: 0.2179; Size: 1000; Time: 381.929 ms; Top5_Histogram_(relative_to_max): 0 0 2 306 692 ; iter: 200;
Z(5, 12; 2, 2): Max: 22; Mean: 21.758; Variance: 0.185436; Size: 1000; Time: 461.244 ms; Top5_Histogram_(relative_to_max): 0 0 1 240 759 ; iter: 200;
Z(5, 13; 2, 2): Max: 23; Mean: 22.885; Variance: 0.103775; Size: 1000; Time: 616.721 ms; Top5_Histogram_(relative_to_max): 0 0 1 113 886 ; iter: 200;
Z(5, 14; 2, 2): Max: 24; Mean: 23.935; Variance: 0.060775; Size: 1000; Time: 674.354 ms; Top5_Histogram_(relative_to_max): 0 0 0 65 935 ; iter: 200;
Z(5, 15; 2, 2): Max: 25; Mean: 24.97; Variance: 0.0291; Size: 1000; Time: 751.085 ms; Top5_Histogram_(relative_to_max): 0 0 0 30 970 ; iter: 200;
Z(5, 16; 2, 2): Max: 26; Mean: 25.982; Variance: 0.017676; Size: 1000; Time: 834.183 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 982 ; iter: 200;
Z(5, 17; 2, 2): Max: 27; Mean: 26.987; Variance: 0.012831; Size: 1000; Time: 894.652 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 987 ; iter: 200;
Z(5, 18; 2, 2): Max: 28; Mean: 27.992; Variance: 0.007936; Size: 1000; Time: 1175.35 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 992 ; iter: 200;
Z(5, 19; 2, 2): Max: 29; Mean: 28.995; Variance: 0.004975; Size: 1000; Time: 1276.25 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 995 ; iter: 200;
Z(5, 20; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 1000; Time: 1357.3 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 21; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 1000; Time: 516.271 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 22; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 1000; Time: 582.727 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 23; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 1000; Time: 680.585 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 24; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 1000; Time: 729.226 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 25; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 1000; Time: 776.028 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 26; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 1000; Time: 813.31 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 27; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 1000; Time: 835.925 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 28; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 1000; Time: 984.804 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 29; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 1000; Time: 1033.54 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(5, 30; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 1000; Time: 1092.73 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 1000 ; iter: 200;
Z(6, 6; 2, 2): Max: 16; Mean: 15.871; Variance: 0.112359; Size: 1000; Time: 474.487 ms; Top5_Histogram_(relative_to_max): 0 0 0 129 871 ; iter: 200;
Z(6, 7; 2, 2): Max: 18; Mean: 17.61; Variance: 0.2559; Size: 1000; Time: 562.932 ms; Top5_Histogram_(relative_to_max): 0 0 9 372 619 ; iter: 200;
Z(6, 8; 2, 2): Max: 19; Mean: 18.938; Variance: 0.058156; Size: 1000; Time: 296.753 ms; Top5_Histogram_(relative_to_max): 0 0 0 62 938 ; iter: 200;
Z(6, 9; 2, 2): Max: 21; Mean: 20.58; Variance: 0.2676; Size: 1000; Time: 440.355 ms; Top5_Histogram_(relative_to_max): 0 0 12 396 592 ; iter: 200;
Z(6, 10; 2, 2): Max: 22; Mean: 21.902; Variance: 0.088396; Size: 1000; Time: 442.01 ms; Top5_Histogram_(relative_to_max): 0 0 0 98 902 ; iter: 200;
Z(6, 11; 2, 2): Max: 24; Mean: 23.567; Variance: 0.283511; Size: 1000; Time: 442.572 ms; Top5_Histogram_(relative_to_max): 0 0 19 395 586 ; iter: 200;
Z(6, 12; 2, 2): Max: 25; Mean: 24.885; Variance: 0.109775; Size: 1000; Time: 457.872 ms; Top5_Histogram_(relative_to_max): 0 0 4 107 889 ; iter: 200;
Z(6, 13; 2, 2): Max: 27; Mean: 26.224; Variance: 0.287824; Size: 1000; Time: 659.749 ms; Top5_Histogram_(relative_to_max): 0 1 54 665 280 ; iter: 200;
Z(6, 14; 2, 2): Max: 28; Mean: 27.655; Variance: 0.239975; Size: 1000; Time: 643.659 ms; Top5_Histogram_(relative_to_max): 0 0 7 331 662 ; iter: 200;
Z(6, 15; 2, 2): Max: 30; Mean: 28.997; Variance: 0.304991; Size: 1000; Time: 670.307 ms; Top5_Histogram_(relative_to_max): 0 2 148 701 149 ; iter: 200;
Z(6, 16; 2, 2): Max: 31; Mean: 30.3; Variance: 0.324; Size: 1000; Time: 654.667 ms; Top5_Histogram_(relative_to_max): 0 2 51 592 355 ; iter: 200;
Z(6, 17; 2, 2): Max: 32; Mean: 31.431; Variance: 0.305239; Size: 1000; Time: 713.207 ms; Top5_Histogram_(relative_to_max): 0 0 30 509 461 ; iter: 200;
Z(6, 18; 2, 2): Max: 33; Mean: 32.637; Variance: 0.247231; Size: 1000; Time: 974.211 ms; Top5_Histogram_(relative_to_max): 0 0 8 347 645 ; iter: 200;
Z(6, 19; 2, 2): Max: 34; Mean: 33.737; Variance: 0.209831; Size: 1000; Time: 1024.32 ms; Top5_Histogram_(relative_to_max): 0 0 8 247 745 ; iter: 200;
Z(6, 20; 2, 2): Max: 35; Mean: 34.806; Variance: 0.158364; Size: 1000; Time: 1110.9 ms; Top5_Histogram_(relative_to_max): 0 0 1 192 807 ; iter: 200;
Z(6, 21; 2, 2): Max: 36; Mean: 35.865; Variance: 0.116775; Size: 1000; Time: 1176.66 ms; Top5_Histogram_(relative_to_max): 0 0 0 135 865 ; iter: 200;
Z(6, 22; 2, 2): Max: 37; Mean: 36.909; Variance: 0.084719; Size: 1000; Time: 1253.49 ms; Top5_Histogram_(relative_to_max): 0 0 1 89 910 ; iter: 200;
Z(6, 23; 2, 2): Max: 38; Mean: 37.904; Variance: 0.088784; Size: 1000; Time: 1335.32 ms; Top5_Histogram_(relative_to_max): 0 0 1 94 905 ; iter: 200;
Z(6, 24; 2, 2): Max: 39; Mean: 38.952; Variance: 0.045696; Size: 1000; Time: 1715.72 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 952 ; iter: 200;
Z(6, 25; 2, 2): Max: 40; Mean: 39.966; Variance: 0.032844; Size: 1000; Time: 1787.41 ms; Top5_Histogram_(relative_to_max): 0 0 0 34 966 ; iter: 200;
Z(6, 26; 2, 2): Max: 41; Mean: 40.974; Variance: 0.025324; Size: 1000; Time: 1895.51 ms; Top5_Histogram_(relative_to_max): 0 0 0 26 974 ; iter: 200;
Z(6, 27; 2, 2): Max: 42; Mean: 41.98; Variance: 0.0196; Size: 1000; Time: 2047.19 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 980 ; iter: 200;
Z(6, 28; 2, 2): Max: 43; Mean: 42.98; Variance: 0.0196; Size: 1000; Time: 2148.47 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 980 ; iter: 200;
Z(6, 29; 2, 2): Max: 44; Mean: 43.98; Variance: 0.0196; Size: 1000; Time: 2307.93 ms; Top5_Histogram_(relative_to_max): 0 0 0 20 980 ; iter: 200;
Z(6, 30; 2, 2): Max: 45; Mean: 44.993; Variance: 0.006951; Size: 1000; Time: 2730.66 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 993 ; iter: 200;
Z(7, 7; 2, 2): Max: 21; Mean: 20.982; Variance: 0.035676; Size: 1000; Time: 380.587 ms; Top5_Histogram_(relative_to_max): 0 0 9 0 991 ; iter: 200;
Z(7, 8; 2, 2): Max: 22; Mean: 21.963; Variance: 0.037631; Size: 1000; Time: 447.115 ms; Top5_Histogram_(relative_to_max): 0 0 1 35 964 ; iter: 200;
Z(7, 9; 2, 2): Max: 24; Mean: 23.543; Variance: 0.300151; Size: 1000; Time: 611.699 ms; Top5_Histogram_(relative_to_max): 0 0 26 405 569 ; iter: 200;
Z(7, 10; 2, 2): Max: 25; Mean: 24.741; Variance: 0.195919; Size: 1000; Time: 1052.55 ms; Top5_Histogram_(relative_to_max): 0 0 2 255 743 ; iter: 200;
Z(7, 11; 2, 2): Max: 27; Mean: 26.333; Variance: 0.342111; Size: 1000; Time: 567.105 ms; Top5_Histogram_(relative_to_max): 0 2 54 553 391 ; iter: 200;
Z(7, 12; 2, 2): Max: 28; Mean: 27.773; Variance: 0.183471; Size: 1000; Time: 535.221 ms; Top5_Histogram_(relative_to_max): 0 0 4 219 777 ; iter: 200;
Z(7, 13; 2, 2): Max: 30; Mean: 29.461; Variance: 0.330479; Size: 1000; Time: 571.182 ms; Top5_Histogram_(relative_to_max): 0 1 38 460 501 ; iter: 200;
Z(7, 14; 2, 2): Max: 31; Mean: 30.771; Variance: 0.198559; Size: 1000; Time: 559.636 ms; Top5_Histogram_(relative_to_max): 0 0 11 207 782 ; iter: 200;
Z(7, 15; 2, 2): Max: 33; Mean: 32.25; Variance: 0.3475; Size: 1000; Time: 766.348 ms; Top5_Histogram_(relative_to_max): 0 1 77 593 329 ; iter: 200;
Z(7, 16; 2, 2): Max: 34; Mean: 33.699; Variance: 0.236399; Size: 1000; Time: 789.356 ms; Top5_Histogram_(relative_to_max): 0 0 13 275 712 ; iter: 200;
Z(7, 17; 2, 2): Max: 36; Mean: 35.178; Variance: 0.356316; Size: 1000; Time: 782.992 ms; Top5_Histogram_(relative_to_max): 0 2 99 618 281 ; iter: 200;
Z(7, 18; 2, 2): Max: 37; Mean: 36.555; Variance: 0.318975; Size: 1000; Time: 791.482 ms; Top5_Histogram_(relative_to_max): 0 1 33 376 590 ; iter: 200;
Z(7, 19; 2, 2): Max: 39; Mean: 37.8; Variance: 0.394; Size: 1000; Time: 1082.03 ms; Top5_Histogram_(relative_to_max): 1 12 275 610 102 ; iter: 200;
Z(7, 20; 2, 2): Max: 40; Mean: 39.196; Variance: 0.387584; Size: 1000; Time: 1070.94 ms; Top5_Histogram_(relative_to_max): 0 3 106 583 308 ; iter: 200;
Z(7, 21; 2, 2): Max: 42; Mean: 40.554; Variance: 0.425084; Size: 1000; Time: 1083.06 ms; Top5_Histogram_(relative_to_max): 3 45 382 535 35 ; iter: 200;
Z(7, 22; 2, 2): Max: 43; Mean: 41.763; Variance: 0.396831; Size: 1000; Time: 1100.94 ms; Top5_Histogram_(relative_to_max): 0 12 309 583 96 ; iter: 200;
Z(7, 23; 2, 2): Max: 44; Mean: 42.977; Variance: 0.408471; Size: 1000; Time: 1141.43 ms; Top5_Histogram_(relative_to_max): 0 10 186 621 183 ; iter: 200;
Z(7, 24; 2, 2): Max: 45; Mean: 44.158; Variance: 0.391036; Size: 1000; Time: 1206.4 ms; Top5_Histogram_(relative_to_max): 0 4 117 596 283 ; iter: 200;
Z(7, 25; 2, 2): Max: 46; Mean: 45.339; Variance: 0.350079; Size: 1000; Time: 1551.83 ms; Top5_Histogram_(relative_to_max): 0 2 57 541 400 ; iter: 200;
Z(7, 26; 2, 2): Max: 47; Mean: 46.435; Variance: 0.329775; Size: 1000; Time: 1668.54 ms; Top5_Histogram_(relative_to_max): 0 2 36 487 475 ; iter: 200;
Z(7, 27; 2, 2): Max: 48; Mean: 47.603; Variance: 0.287391; Size: 1000; Time: 1692.34 ms; Top5_Histogram_(relative_to_max): 0 1 21 352 626 ; iter: 200;
