Z(4, 7; 2, 2): Max: 13; Mean: 12.2876; Variance: 0.292109; Size: 50000; Time: 753.742 ms; Top5_Histogram_(relative_to_max): 0 302 1275 32166 16257 ;
Z(4, 8; 2, 2): Max: 14; Mean: 13.5687; Variance: 0.257806; Size: 50000; Time: 765.325 ms; Top5_Histogram_(relative_to_max): 0 68 109 21145 28678 ;
Z(4, 9; 2, 2): Max: 15; Mean: 14.6365; Variance: 0.239042; Size: 50000; Time: 959.323 ms; Top5_Histogram_(relative_to_max): 0 53 33 17949 31965 ;
Z(4, 10; 2, 2): Max: 16; Mean: 15.6766; Variance: 0.227958; Size: 50000; Time: 1120.02 ms; Top5_Histogram_(relative_to_max): 0 70 19 15920 33991 ;
Z(4, 11; 2, 2): Max: 17; Mean: 16.7071; Variance: 0.212086; Size: 50000; Time: 927.475 ms; Top5_Histogram_(relative_to_max): 0 40 4 14519 35437 ;
Z(4, 12; 2, 2): Max: 18; Mean: 17.8005; Variance: 0.162272; Size: 50000; Time: 1180.01 ms; Top5_Histogram_(relative_to_max): 0 21 1 9911 40067 ;
Z(4, 13; 2, 2): Max: 19; Mean: 18.7352; Variance: 0.20401; Size: 50000; Time: 870.503 ms; Top5_Histogram_(relative_to_max): 0 74 11 12997 36918 ;
Z(4, 14; 2, 2): Max: 20; Mean: 19.7566; Variance: 0.191666; Size: 50000; Time: 912.224 ms; Top5_Histogram_(relative_to_max): 0 60 8 11973 37959 ;
Z(4, 15; 2, 2): Max: 21; Mean: 20.7718; Variance: 0.183016; Size: 50000; Time: 1027.67 ms; Top5_Histogram_(relative_to_max): 0 57 1 11238 38704 ;
Z(4, 16; 2, 2): Max: 22; Mean: 21.8072; Variance: 0.159496; Size: 50000; Time: 1010.28 ms; Top5_Histogram_(relative_to_max): 0 32 1 9541 40426 ;
Z(4, 17; 2, 2): Max: 23; Mean: 22.8196; Variance: 0.151843; Size: 50000; Time: 1185.51 ms; Top5_Histogram_(relative_to_max): 0 33 1 8918 41048 ;
Z(4, 18; 2, 2): Max: 24; Mean: 23.8292; Variance: 0.144401; Size: 50000; Time: 1342.03 ms; Top5_Histogram_(relative_to_max): 0 23 0 8472 41505 ;
Z(4, 19; 2, 2): Max: 25; Mean: 24.8345; Variance: 0.14099; Size: 50000; Time: 1177.81 ms; Top5_Histogram_(relative_to_max): 0 24 0 8203 41773 ;
Z(4, 20; 2, 2): Max: 26; Mean: 25.8574; Variance: 0.123917; Size: 50000; Time: 1350.71 ms; Top5_Histogram_(relative_to_max): 0 14 0 7086 42900 ;
Z(4, 21; 2, 2): Max: 27; Mean: 26.8644; Variance: 0.118922; Size: 50000; Time: 1312.42 ms; Top5_Histogram_(relative_to_max): 0 14 0 6740 43246 ;
Z(4, 22; 2, 2): Max: 28; Mean: 27.8689; Variance: 0.115593; Size: 50000; Time: 1309.06 ms; Top5_Histogram_(relative_to_max): 0 14 0 6513 43473 ;
Z(4, 23; 2, 2): Max: 29; Mean: 28.8754; Variance: 0.11086; Size: 50000; Time: 1429.66 ms; Top5_Histogram_(relative_to_max): 0 15 0 6184 43801 ;
