Z(5, 14; 3, 3): Max: 44; Mean: 43.1562; Variance: 0.444336; Size: 96; Time: 11.5944 ms; Top5_Histogram_(relative_to_max): 0 1 12 54 29 ; iter: [1,3,6,12];
Z(5, 15; 3, 3): Max: 46; Mean: 45.8021; Variance: 0.158746; Size: 96; Time: 13.9485 ms; Top5_Histogram_(relative_to_max): 0 0 0 19 77 ; iter: [1,3,6,12];
Z(5, 16; 3, 3): Max: 49; Mean: 48.4792; Variance: 0.374566; Size: 96; Time: 24.1392 ms; Top5_Histogram_(relative_to_max): 0 0 6 38 52 ; iter: [1,3,6,12];
Z(5, 17; 3, 3): Max: 51; Mean: 49.3542; Variance: 0.749566; Size: 96; Time: 12.5819 ms; Top5_Histogram_(relative_to_max): 1 16 33 40 6 ; iter: [1,3,6,12];
Z(5, 18; 3, 3): Max: 54; Mean: 52.9271; Variance: 0.5051; Size: 96; Time: 16.9929 ms; Top5_Histogram_(relative_to_max): 0 0 28 47 21 ; iter: [1,3,6,12];
Z(5, 19; 3, 3): Max: 57; Mean: 56.1875; Variance: 0.38151; Size: 96; Time: 19.9181 ms; Top5_Histogram_(relative_to_max): 0 0 11 56 29 ; iter: [1,3,6,12];
Z(5, 20; 3, 3): Max: 60; Mean: 58.8958; Variance: 0.655816; Size: 96; Time: 32.5922 ms; Top5_Histogram_(relative_to_max): 1 3 22 49 21 ; iter: [1,3,6,12];
Z(5, 21; 3, 3): Max: 60; Mean: 58.5417; Variance: 0.623264; Size: 96; Time: 15.8516 ms; Top5_Histogram_(relative_to_max): 2 4 38 44 8 ; iter: [1,3,6,12];
Z(5, 22; 3, 3): Max: 64; Mean: 62.7188; Variance: 1.16048; Size: 96; Time: 22.4747 ms; Top5_Histogram_(relative_to_max): 4 6 31 27 28 ; iter: [1,3,6,12];
Z(5, 23; 3, 3): Max: 66; Mean: 65.7708; Variance: 0.218316; Size: 96; Time: 28.1428 ms; Top5_Histogram_(relative_to_max): 0 0 2 18 76 ; iter: [1,3,6,12];
Z(5, 24; 3, 3): Max: 68; Mean: 67.75; Variance: 0.25; Size: 96; Time: 45.9311 ms; Top5_Histogram_(relative_to_max): 0 0 3 18 75 ; iter: [1,3,6,12];
Z(5, 25; 3, 3): Max: 69; Mean: 67.0937; Variance: 0.855794; Size: 96; Time: 20.7761 ms; Top5_Histogram_(relative_to_max): 0 25 39 25 6 ; iter: [1,3,6,12];
Z(5, 26; 3, 3): Max: 72; Mean: 70.6979; Variance: 0.752496; Size: 96; Time: 30.6134 ms; Top5_Histogram_(relative_to_max): 0 6 37 33 20 ; iter: [1,3,6,12];
Z(5, 27; 3, 3): Max: 74; Mean: 73.9792; Variance: 0.0203993; Size: 96; Time: 38.7516 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 94 ; iter: [1,3,6,12];
Z(5, 28; 3, 3): Max: 76; Mean: 75.8854; Variance: 0.122287; Size: 96; Time: 57.2241 ms; Top5_Histogram_(relative_to_max): 0 0 1 9 86 ; iter: [1,3,6,12];
Z(5, 29; 3, 3): Max: 78; Mean: 76.0521; Variance: 1.48687; Size: 96; Time: 27.1802 ms; Top5_Histogram_(relative_to_max): 10 23 31 16 16 ; iter: [1,3,6,12];
Z(5, 30; 3, 3): Max: 80; Mean: 79.5104; Variance: 0.645725; Size: 96; Time: 37.3568 ms; Top5_Histogram_(relative_to_max): 0 3 10 18 65 ; iter: [1,3,6,12];
Z(6, 6; 3, 3): Max: 26; Mean: 25.7083; Variance: 0.248264; Size: 96; Time: 7.2523 ms; Top5_Histogram_(relative_to_max): 0 0 2 24 70 ; iter: [1,3,6,12];
Z(6, 7; 3, 3): Max: 29; Mean: 28.9063; Variance: 0.0849609; Size: 96; Time: 12.1037 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 87 ; iter: [1,3,6,12];
Z(6, 8; 3, 3): Max: 32; Mean: 31.6354; Variance: 0.231662; Size: 96; Time: 6.8818 ms; Top5_Histogram_(relative_to_max): 0 0 0 35 61 ; iter: [1,3,6,12];
Z(6, 9; 3, 3): Max: 36; Mean: 34.7812; Variance: 0.379232; Size: 96; Time: 9.9002 ms; Top5_Histogram_(relative_to_max): 0 0 31 55 10 ; iter: [1,3,6,12];
Z(6, 10; 3, 3): Max: 39; Mean: 38.2812; Variance: 0.472982; Size: 96; Time: 16.1963 ms; Top5_Histogram_(relative_to_max): 0 0 13 43 40 ; iter: [1,3,6,12];
Z(6, 11; 3, 3): Max: 42; Mean: 41.3958; Variance: 0.426649; Size: 96; Time: 23.2761 ms; Top5_Histogram_(relative_to_max): 0 0 9 40 47 ; iter: [1,3,6,12];
Z(6, 12; 3, 3): Max: 45; Mean: 43.5; Variance: 0.458333; Size: 96; Time: 11.0642 ms; Top5_Histogram_(relative_to_max): 0 6 40 46 4 ; iter: [1,3,6,12];
Z(6, 13; 3, 3): Max: 48; Mean: 46.7188; Variance: 0.535482; Size: 96; Time: 15.9017 ms; Top5_Histogram_(relative_to_max): 0 2 37 43 14 ; iter: [1,3,6,12];
Z(6, 14; 3, 3): Max: 50; Mean: 49.4063; Variance: 0.366211; Size: 96; Time: 21.574 ms; Top5_Histogram_(relative_to_max): 0 0 6 45 45 ; iter: [1,3,6,12];
Z(6, 15; 3, 3): Max: 53; Mean: 52.2188; Variance: 0.254232; Size: 96; Time: 45.5782 ms; Top5_Histogram_(relative_to_max): 0 0 4 67 25 ; iter: [1,3,6,12];
Z(6, 16; 3, 3): Max: 55; Mean: 54.7188; Variance: 0.202148; Size: 96; Time: 15.0288 ms; Top5_Histogram_(relative_to_max): 0 0 0 27 69 ; iter: [1,3,6,12];
Z(6, 17; 3, 3): Max: 58; Mean: 57.6146; Variance: 0.236871; Size: 96; Time: 15.1725 ms; Top5_Histogram_(relative_to_max): 0 0 0 37 59 ; iter: [1,3,6,12];
Z(6, 18; 3, 3): Max: 61; Mean: 60.2708; Variance: 0.384983; Size: 96; Time: 18.843 ms; Top5_Histogram_(relative_to_max): 0 0 9 52 35 ; iter: [1,3,6,12];
Z(6, 19; 3, 3): Max: 64; Mean: 62.8229; Variance: 0.291558; Size: 96; Time: 28.3249 ms; Top5_Histogram_(relative_to_max): 0 2 18 71 5 ; iter: [1,3,6,12];
Z(6, 20; 3, 3): Max: 66; Mean: 65.7187; Variance: 0.243815; Size: 96; Time: 15.3194 ms; Top5_Histogram_(relative_to_max): 0 0 2 23 71 ; iter: [1,3,6,12];
Z(6, 21; 3, 3): Max: 69; Mean: 68.2708; Variance: 0.364149; Size: 96; Time: 19.5897 ms; Top5_Histogram_(relative_to_max): 0 1 5 57 33 ; iter: [1,3,6,12];
Z(6, 22; 3, 3): Max: 72; Mean: 70.7604; Variance: 0.432183; Size: 96; Time: 24.6814 ms; Top5_Histogram_(relative_to_max): 0 5 20 64 7 ; iter: [1,3,6,12];
Z(6, 23; 3, 3): Max: 74; Mean: 73.5312; Variance: 0.311523; Size: 96; Time: 34.6715 ms; Top5_Histogram_(relative_to_max): 0 0 3 39 54 ; iter: [1,3,6,12];
Z(6, 24; 3, 3): Max: 77; Mean: 75.8437; Variance: 0.631836; Size: 96; Time: 19.4966 ms; Top5_Histogram_(relative_to_max): 0 4 27 45 20 ; iter: [1,3,6,12];
Z(6, 25; 3, 3): Max: 80; Mean: 78.6563; Variance: 0.413086; Size: 96; Time: 25.1306 ms; Top5_Histogram_(relative_to_max): 0 4 30 57 5 ; iter: [1,3,6,12];
Z(6, 26; 3, 3): Max: 82; Mean: 81.3229; Variance: 0.385308; Size: 96; Time: 34.4918 ms; Top5_Histogram_(relative_to_max): 0 0 8 49 39 ; iter: [1,3,6,12];
Z(6, 27; 3, 3): Max: 85; Mean: 83.875; Variance: 0.484375; Size: 96; Time: 45.8491 ms; Top5_Histogram_(relative_to_max): 0 2 24 54 16 ; iter: [1,3,6,12];
Z(6, 28; 3, 3): Max: 88; Mean: 85.8125; Variance: 1.00651; Size: 96; Time: 25.0286 ms; Top5_Histogram_(relative_to_max): 11 23 38 21 3 ; iter: [1,3,6,12];
