Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 240; Time: 15.3165 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 240; Time: 20.5633 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 240; Time: 10.5233 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 240; Time: 12.8664 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 240; Time: 15.9127 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 240; Time: 22.3978 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 240; Time: 13.3053 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 240; Time: 13.885 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 30; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 240; Time: 1045.88 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 240; Time: 2313.09 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 240; Time: 232.518 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 240; Time: 589.333 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 240; Time: 868.722 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 240; Time: 1686.53 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 240; Time: 123.079 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 37; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 240; Time: 428.25 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 38; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 240; Time: 902.738 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 240; Time: 1632.66 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(3, 40; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 240; Time: 117.015 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 4; 2, 2): Max: 9; Mean: 8.975; Variance: 0.024375; Size: 240; Time: 9.7613 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 234 ; iter: 0x7bf120;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 240; Time: 11.8843 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 6; 2, 2): Max: 12; Mean: 11.2583; Variance: 0.191597; Size: 240; Time: 30.4255 ms; Top5_Histogram_(relative_to_max): 0 0 0 178 62 ; iter: 0x7bf120;
Z(4, 7; 2, 2): Max: 13; Mean: 12.8167; Variance: 0.149722; Size: 240; Time: 9.4361 ms; Top5_Histogram_(relative_to_max): 0 0 0 44 196 ; iter: 0x7bf120;
Z(4, 8; 2, 2): Max: 14; Mean: 13.9917; Variance: 0.00826389; Size: 240; Time: 16.2158 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 238 ; iter: 0x7bf120;
Z(4, 9; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 240; Time: 24.5767 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 10; 2, 2): Max: 16; Mean: 16; Variance: 0; Size: 240; Time: 43.2635 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 11; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 240; Time: 11.6255 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 240; Time: 22.4167 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 13; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 240; Time: 23.5415 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 14; 2, 2): Max: 19; Mean: 18.9; Variance: 0.09; Size: 240; Time: 26.3593 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 216 ; iter: 0x7bf120;
Z(4, 15; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 240; Time: 11.7861 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 16; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 240; Time: 15.811 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 17; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 240; Time: 22.2698 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 18; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 240; Time: 35.0236 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 19; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 240; Time: 17.3569 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 20; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 240; Time: 24.9117 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 21; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 240; Time: 37.5813 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 22; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 240; Time: 54.6938 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 23; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 240; Time: 22.279 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 24; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 240; Time: 27.8964 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 25; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 240; Time: 38.9936 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 26; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 240; Time: 55.2726 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 27; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 240; Time: 18.838 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 28; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 240; Time: 30.416 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 29; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 240; Time: 50.9911 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 30; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 240; Time: 73.8322 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 31; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 240; Time: 32.0204 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 32; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 240; Time: 40.2745 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 33; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 240; Time: 47.4442 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 34; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 240; Time: 93.3063 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 35; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 240; Time: 36.9797 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 36; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 240; Time: 33.5943 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 37; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 240; Time: 61.7353 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 38; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 240; Time: 84.7344 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 39; 2, 2): Max: 44; Mean: 44; Variance: 0; Size: 240; Time: 40.9985 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(4, 40; 2, 2): Max: 45; Mean: 45; Variance: 0; Size: 240; Time: 53.3193 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 240 ; iter: 0x7bf120;
Z(5, 5; 2, 2): Max: 12; Mean: 11.9417; Variance: 0.0549306; Size: 240; Time: 24.8981 ms; Top5_Histogram_(relative_to_max): 0 0 0 14 226 ; iter: 0x7bf120;
Z(5, 6; 2, 2): Max: 14; Mean: 13.6917; Variance: 0.213264; Size: 240; Time: 48.9836 ms; Top5_Histogram_(relative_to_max): 0 0 0 74 166 ; iter: 0x7bf120;
Z(5, 7; 2, 2): Max: 15; Mean: 14.9667; Variance: 0.0322222; Size: 240; Time: 9.8544 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 232 ; iter: 0x7bf120;
Z(5, 8; 2, 2): Max: 17; Mean: 16.2333; Variance: 0.178889; Size: 240; Time: 27.8155 ms; Top5_Histogram_(relative_to_max): 0 0 0 184 56 ; iter: 0x7bf120;
