Z(3, 17; 2, 2): Max: 20; Mean: 19.945; Variance: 0.051975; Size: 400; Time: 14.5166 ms; Top5_Histogram_(relative_to_max): 0 0 0 22 378 ; iter: 1, 3, 6, 12;
Z(3, 18; 2, 2): Max: 21; Mean: 20.985; Variance: 0.014775; Size: 400; Time: 17.1022 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 394 ; iter: 1, 3, 6, 12;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 20.1942 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 20; 2, 2): Max: 23; Mean: 22.645; Variance: 0.228975; Size: 400; Time: 15.9488 ms; Top5_Histogram_(relative_to_max): 0 0 0 142 258 ; iter: 1, 3, 6, 12;
Z(3, 21; 2, 2): Max: 24; Mean: 23.935; Variance: 0.060775; Size: 400; Time: 17.6639 ms; Top5_Histogram_(relative_to_max): 0 0 0 26 374 ; iter: 1, 3, 6, 12;
Z(3, 22; 2, 2): Max: 25; Mean: 24.985; Variance: 0.014775; Size: 400; Time: 20.4708 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 394 ; iter: 1, 3, 6, 12;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 24.5326 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 24; 2, 2): Max: 27; Mean: 26.555; Variance: 0.246975; Size: 400; Time: 18.7441 ms; Top5_Histogram_(relative_to_max): 0 0 0 178 222 ; iter: 1, 3, 6, 12;
Z(3, 25; 2, 2): Max: 28; Mean: 27.855; Variance: 0.123975; Size: 400; Time: 21.1687 ms; Top5_Histogram_(relative_to_max): 0 0 0 58 342 ; iter: 1, 3, 6, 12;
Z(3, 26; 2, 2): Max: 29; Mean: 28.985; Variance: 0.014775; Size: 400; Time: 24.907 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 394 ; iter: 1, 3, 6, 12;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 29.0342 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 28; 2, 2): Max: 31; Mean: 30.53; Variance: 0.2491; Size: 400; Time: 23.2068 ms; Top5_Histogram_(relative_to_max): 0 0 0 188 212 ; iter: 1, 3, 6, 12;
Z(3, 29; 2, 2): Max: 32; Mean: 31.855; Variance: 0.123975; Size: 400; Time: 26.0142 ms; Top5_Histogram_(relative_to_max): 0 0 0 58 342 ; iter: 1, 3, 6, 12;
Z(3, 30; 2, 2): Max: 33; Mean: 32.995; Variance: 0.004975; Size: 400; Time: 29.1057 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 34.2455 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 32; 2, 2): Max: 35; Mean: 34.44; Variance: 0.2464; Size: 400; Time: 26.9334 ms; Top5_Histogram_(relative_to_max): 0 0 0 224 176 ; iter: 1, 3, 6, 12;
Z(3, 33; 2, 2): Max: 36; Mean: 35.86; Variance: 0.1204; Size: 400; Time: 30.0686 ms; Top5_Histogram_(relative_to_max): 0 0 0 56 344 ; iter: 1, 3, 6, 12;
Z(3, 34; 2, 2): Max: 37; Mean: 36.995; Variance: 0.004975; Size: 400; Time: 34.9439 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 40.2886 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
