Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 13.5316 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 15.271 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 400; Time: 6.0564 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 400; Time: 5.5356 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 400; Time: 6.3372 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 6.825 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 7; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 8.2311 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 8; 2, 2): Max: 11; Mean: 11; Variance: 0; Size: 400; Time: 7.0114 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 9; 2, 2): Max: 12; Mean: 12; Variance: 0; Size: 400; Time: 7.3108 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 10; 2, 2): Max: 13; Mean: 13; Variance: 0; Size: 400; Time: 8.1639 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
