Z(2, 25; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 72; Time: 31.4355 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 26; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 72; Time: 27.7426 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 27; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 72; Time: 30.274 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 28; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 72; Time: 34.324 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 29; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 72; Time: 32.3078 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 30; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 72; Time: 26.5683 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 72; Time: 28.5943 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 72; Time: 29.8367 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 72; Time: 33.805 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 72; Time: 27.416 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 72; Time: 31.573 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 72; Time: 32.8492 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 72; Time: 38.1778 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 72; Time: 30.9852 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 72; Time: 32.493 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 72; Time: 34.1952 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 3; 2, 2): Max: 6; Mean: 6; Variance: 0; Size: 72; Time: 23.7181 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 72 ; iter: 0x7cf080;
Z(3, 4; 2, 2): Max: 7; Mean: 6.79167; Variance: 0.164931; Size: 72; Time: 22.3589 ms; Top5_Histogram_(relative_to_max): 0 0 0 15 57 ; iter: 0x7cf080;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 96; Time: 25.353 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 96; Time: 25.7546 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 7; 2, 2): Max: 10; Mean: 9.88542; Variance: 0.101454; Size: 96; Time: 27.0275 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 85 ; iter: 0x7cf080;
Z(3, 8; 2, 2): Max: 11; Mean: 10.5938; Variance: 0.241211; Size: 96; Time: 24.7564 ms; Top5_Histogram_(relative_to_max): 0 0 0 39 57 ; iter: 0x7cf080;
Z(3, 9; 2, 2): Max: 12; Mean: 11.8854; Variance: 0.101454; Size: 96; Time: 30.2726 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 85 ; iter: 0x7cf080;
Z(3, 10; 2, 2): Max: 13; Mean: 12.9062; Variance: 0.0849609; Size: 96; Time: 26.8282 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 87 ; iter: 0x7cf080;
Z(3, 11; 2, 2): Max: 14; Mean: 14; Variance: 0; Size: 96; Time: 26.2262 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 12; 2, 2): Max: 15; Mean: 14.875; Variance: 0.109375; Size: 96; Time: 27.351 ms; Top5_Histogram_(relative_to_max): 0 0 0 12 84 ; iter: 0x7cf080;
Z(3, 13; 2, 2): Max: 16; Mean: 15.8333; Variance: 0.138889; Size: 96; Time: 26.4107 ms; Top5_Histogram_(relative_to_max): 0 0 0 16 80 ; iter: 0x7cf080;
Z(3, 14; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 96; Time: 29.5332 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 15; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 96; Time: 30.172 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 16; 2, 2): Max: 19; Mean: 18.9062; Variance: 0.0849609; Size: 96; Time: 27.8117 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 87 ; iter: 0x7cf080;
Z(3, 17; 2, 2): Max: 20; Mean: 19.9479; Variance: 0.0493707; Size: 96; Time: 28.0274 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 91 ; iter: 0x7cf080;
Z(3, 18; 2, 2): Max: 21; Mean: 20.9792; Variance: 0.0203993; Size: 96; Time: 28.1493 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 94 ; iter: 0x7cf080;
Z(3, 19; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 96; Time: 30.4506 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9583; Variance: 0.0399306; Size: 96; Time: 30.2799 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 92 ; iter: 0x7cf080;
Z(3, 21; 2, 2): Max: 24; Mean: 23.9687; Variance: 0.0302734; Size: 96; Time: 30.1574 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 93 ; iter: 0x7cf080;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9896; Variance: 0.0103082; Size: 96; Time: 33.0872 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 96; Time: 35.9265 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9792; Variance: 0.0203993; Size: 96; Time: 31.6264 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 94 ; iter: 0x7cf080;
Z(3, 25; 2, 2): Max: 28; Mean: 27.9687; Variance: 0.0302734; Size: 96; Time: 32.0167 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 93 ; iter: 0x7cf080;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 96; Time: 37.7138 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 96; Time: 39.3828 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9792; Variance: 0.0203993; Size: 96; Time: 39.0902 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 94 ; iter: 0x7cf080;
