Z(5, 10; 2, 2): Max: 20; Mean: 19.5188; Variance: 0.299648; Size: 160; Time: 26.6117 ms; Top5_Histogram_(relative_to_max): 0 0 4 69 87 ; iter: 0x65f080;
Z(5, 11; 2, 2): Max: 21; Mean: 20.2562; Variance: 0.715586; Size: 160; Time: 20.9299 ms; Top5_Histogram_(relative_to_max): 0 6 24 53 77 ; iter: 0x65f080;
Z(5, 12; 2, 2): Max: 22; Mean: 21.4063; Variance: 0.328711; Size: 160; Time: 22.3899 ms; Top5_Histogram_(relative_to_max): 0 0 7 81 72 ; iter: 0x65f080;
Z(5, 13; 2, 2): Max: 23; Mean: 22.8; Variance: 0.16; Size: 160; Time: 27.8133 ms; Top5_Histogram_(relative_to_max): 0 0 0 32 128 ; iter: 0x65f080;
Z(5, 14; 2, 2): Max: 24; Mean: 23.95; Variance: 0.0475; Size: 160; Time: 35.7969 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 152 ; iter: 0x65f080;
Z(5, 15; 2, 2): Max: 25; Mean: 24.4063; Variance: 0.303711; Size: 160; Time: 27.2051 ms; Top5_Histogram_(relative_to_max): 0 0 5 85 70 ; iter: 0x65f080;
Z(5, 16; 2, 2): Max: 26; Mean: 25.825; Variance: 0.144375; Size: 160; Time: 28.1308 ms; Top5_Histogram_(relative_to_max): 0 0 0 28 132 ; iter: 0x65f080;
Z(5, 17; 2, 2): Max: 27; Mean: 26.9625; Variance: 0.0360937; Size: 160; Time: 33.6762 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 154 ; iter: 0x65f080;
Z(5, 18; 2, 2): Max: 28; Mean: 27.9922; Variance: 0.00775146; Size: 128; Time: 41.2294 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 127 ; iter: 0x65f080;
Z(5, 19; 2, 2): Max: 29; Mean: 28.7734; Variance: 0.190857; Size: 128; Time: 27.0684 ms; Top5_Histogram_(relative_to_max): 0 0 1 27 100 ; iter: 0x65f080;
Z(5, 20; 2, 2): Max: 30; Mean: 29.95; Variance: 0.0475; Size: 160; Time: 33.972 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 152 ; iter: 0x65f080;
Z(5, 21; 2, 2): Max: 31; Mean: 30.4562; Variance: 0.248086; Size: 160; Time: 33.4605 ms; Top5_Histogram_(relative_to_max): 0 0 0 87 73 ; iter: 0x65f080;
Z(5, 22; 2, 2): Max: 32; Mean: 31.075; Variance: 1.26938; Size: 160; Time: 40.1073 ms; Top5_Histogram_(relative_to_max): 0 32 0 52 76 ; iter: 0x65f080;
Z(5, 23; 2, 2): Max: 33; Mean: 31.3188; Variance: 1.62965; Size: 160; Time: 31.9642 ms; Top5_Histogram_(relative_to_max): 1 71 3 46 39 ; iter: 0x65f080;
Z(5, 24; 2, 2): Max: 34; Mean: 33.0937; Variance: 1.00996; Size: 160; Time: 31.5753 ms; Top5_Histogram_(relative_to_max): 0 21 11 60 68 ; iter: 0x65f080;
Z(5, 25; 2, 2): Max: 35; Mean: 33.7812; Variance: 1.1209; Size: 160; Time: 39.1228 ms; Top5_Histogram_(relative_to_max): 0 32 15 69 44 ; iter: 0x65f080;
Z(5, 26; 2, 2): Max: 36; Mean: 34.6; Variance: 1.84; Size: 160; Time: 48.248 ms; Top5_Histogram_(relative_to_max): 0 64 0 32 64 ; iter: 0x65f080;
Z(5, 27; 2, 2): Max: 37; Mean: 35.7438; Variance: 1.50309; Size: 160; Time: 36.7262 ms; Top5_Histogram_(relative_to_max): 0 38 32 23 67 ; iter: 0x65f080;
Z(5, 28; 2, 2): Max: 38; Mean: 36.65; Variance: 1.4025; Size: 160; Time: 38.6852 ms; Top5_Histogram_(relative_to_max): 0 50 0 66 44 ; iter: 0x65f080;
Z(5, 29; 2, 2): Max: 39; Mean: 37.8375; Variance: 1.42359; Size: 160; Time: 43.4985 ms; Top5_Histogram_(relative_to_max): 0 32 33 24 71 ; iter: 0x65f080;
Z(5, 30; 2, 2): Max: 40; Mean: 38.7562; Variance: 2.09684; Size: 160; Time: 54.5296 ms; Top5_Histogram_(relative_to_max): 0 64 0 7 89 ; iter: 0x65f080;
Z(5, 31; 2, 2): Max: 41; Mean: 39.6125; Variance: 1.06234; Size: 160; Time: 39.3188 ms; Top5_Histogram_(relative_to_max): 0 32 32 62 34 ; iter: 0x65f080;
Z(5, 32; 2, 2): Max: 42; Mean: 40.5063; Variance: 1.43746; Size: 160; Time: 43.6697 ms; Top5_Histogram_(relative_to_max): 0 58 0 65 37 ; iter: 0x65f080;
Z(5, 33; 2, 2): Max: 43; Mean: 41.6187; Variance: 1.8734; Size: 160; Time: 50.1565 ms; Top5_Histogram_(relative_to_max): 0 64 0 29 67 ; iter: 0x65f080;
Z(5, 34; 2, 2): Max: 44; Mean: 42.7625; Variance: 1.30609; Size: 160; Time: 67.1941 ms; Top5_Histogram_(relative_to_max): 0 32 32 38 58 ; iter: 0x65f080;
Z(5, 35; 2, 2): Max: 45; Mean: 43.45; Variance: 1.5475; Size: 160; Time: 44.1543 ms; Top5_Histogram_(relative_to_max): 0 64 0 56 40 ; iter: 0x65f080;
