Z(2, 31; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 30; Time: 21.1938 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 32; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 30; Time: 21.6169 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 33; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 30; Time: 22.3306 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 34; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 30; Time: 20.7977 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 35; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 30; Time: 20.9374 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 36; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 30; Time: 21.4731 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 37; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 30; Time: 21.4542 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 38; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 30; Time: 20.9736 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 39; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 30; Time: 21.578 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(2, 40; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 30; Time: 20.8288 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 30 ; iter: 3;
Z(3, 3; 2, 2): Max: 6; Mean: 5.83333; Variance: 0.138889; Size: 30; Time: 19.3942 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 25 ; iter: 3;
Z(3, 4; 2, 2): Max: 7; Mean: 7; Variance: 0; Size: 40; Time: 18.9758 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 5; 2, 2): Max: 8; Mean: 8; Variance: 0; Size: 40; Time: 19.1922 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 6; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 40; Time: 19.9047 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 7; 2, 2): Max: 10; Mean: 9.725; Variance: 0.199375; Size: 40; Time: 20.497 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 29 ; iter: 3;
Z(3, 8; 2, 2): Max: 11; Mean: 10.8; Variance: 0.16; Size: 40; Time: 20.3102 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 32 ; iter: 3;
Z(3, 9; 2, 2): Max: 12; Mean: 11.75; Variance: 0.1875; Size: 40; Time: 19.4584 ms; Top5_Histogram_(relative_to_max): 0 0 0 10 30 ; iter: 3;
Z(3, 10; 2, 2): Max: 13; Mean: 12.775; Variance: 0.174375; Size: 40; Time: 19.6385 ms; Top5_Histogram_(relative_to_max): 0 0 0 9 31 ; iter: 3;
Z(3, 11; 2, 2): Max: 14; Mean: 13.925; Variance: 0.069375; Size: 40; Time: 20.3227 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 37 ; iter: 3;
Z(3, 12; 2, 2): Max: 15; Mean: 15; Variance: 0; Size: 40; Time: 19.5269 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 13; 2, 2): Max: 16; Mean: 15.875; Variance: 0.109375; Size: 40; Time: 20.9709 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 35 ; iter: 3;
Z(3, 14; 2, 2): Max: 17; Mean: 16.925; Variance: 0.069375; Size: 40; Time: 21.4982 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 37 ; iter: 3;
Z(3, 15; 2, 2): Max: 18; Mean: 17.875; Variance: 0.109375; Size: 40; Time: 21.2199 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 35 ; iter: 3;
Z(3, 16; 2, 2): Max: 19; Mean: 18.975; Variance: 0.024375; Size: 40; Time: 21.0345 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 39 ; iter: 3;
Z(3, 17; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 40; Time: 21.6396 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 18; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 40; Time: 21.155 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 19; 2, 2): Max: 22; Mean: 21.975; Variance: 0.024375; Size: 40; Time: 22.3731 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 39 ; iter: 3;
Z(3, 20; 2, 2): Max: 23; Mean: 22.975; Variance: 0.024375; Size: 40; Time: 22.0705 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 39 ; iter: 3;
Z(3, 21; 2, 2): Max: 24; Mean: 23.95; Variance: 0.0475; Size: 40; Time: 22.4407 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 38 ; iter: 3;
Z(3, 22; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 40; Time: 24.8426 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 23; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 40; Time: 25.8201 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 24; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 40; Time: 25.2758 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 25; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 40; Time: 24.9446 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 26; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 40; Time: 26.0913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 27; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 40; Time: 25.3812 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 28; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 40; Time: 26.1027 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
Z(3, 29; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 40; Time: 24.7126 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 40 ; iter: 3;
