Z(3, 39; 2, 2): Max: 42; Mean: 41.3333; Variance: 0.222222; Size: 72; Time: 80.0992 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(3, 40; 2, 2): Max: 43; Mean: 42.3333; Variance: 0.222222; Size: 72; Time: 51.5562 ms; Top5_Histogram_(relative_to_max): 0 0 0 48 24 ; iter: 0x7cf080;
Z(4, 4; 2, 2): Max: 9; Mean: 8.78125; Variance: 0.170898; Size: 96; Time: 25.8356 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 75 ; iter: 0x7cf080;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 96; Time: 32.0913 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 96 ; iter: 0x7cf080;
Z(4, 6; 2, 2): Max: 12; Mean: 11.6563; Variance: 0.225586; Size: 96; Time: 31.1922 ms; Top5_Histogram_(relative_to_max): 0 0 0 33 63 ; iter: 0x7cf080;
Z(4, 7; 2, 2): Max: 13; Mean: 11.8333; Variance: 0.722222; Size: 96; Time: 27.1698 ms; Top5_Histogram_(relative_to_max): 0 13 5 63 15 ; iter: 0x7cf080;
Z(4, 8; 2, 2): Max: 14; Mean: 13.7604; Variance: 0.182183; Size: 96; Time: 29.5462 ms; Top5_Histogram_(relative_to_max): 0 0 0 23 73 ; iter: 0x7cf080;
Z(4, 9; 2, 2): Max: 15; Mean: 14.9271; Variance: 0.0675998; Size: 96; Time: 35.6488 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 89 ; iter: 0x7cf080;
Z(4, 10; 2, 2): Max: 16; Mean: 15.9896; Variance: 0.0103082; Size: 96; Time: 36.0338 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 95 ; iter: 0x7cf080;
Z(4, 11; 2, 2): Max: 17; Mean: 16.4167; Variance: 0.451389; Size: 96; Time: 33.2283 ms; Top5_Histogram_(relative_to_max): 0 3 1 45 47 ; iter: 0x7cf080;
Z(4, 12; 2, 2): Max: 18; Mean: 17.9688; Variance: 0.0302734; Size: 96; Time: 33.0105 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 93 ; iter: 0x7cf080;
Z(4, 13; 2, 2): Max: 19; Mean: 17.2396; Variance: 1.66135; Size: 96; Time: 32.9496 ms; Top5_Histogram_(relative_to_max): 0 48 0 25 23 ; iter: 0x7cf080;
Z(4, 14; 2, 2): Max: 20; Mean: 18.25; Variance: 1.6875; Size: 96; Time: 37.7969 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 15; 2, 2): Max: 21; Mean: 19.0833; Variance: 1.49306; Size: 96; Time: 32.6564 ms; Top5_Histogram_(relative_to_max): 0 52 0 28 16 ; iter: 0x7cf080;
Z(4, 16; 2, 2): Max: 22; Mean: 20.0833; Variance: 1.24306; Size: 96; Time: 34.6494 ms; Top5_Histogram_(relative_to_max): 0 48 0 40 8 ; iter: 0x7cf080;
Z(4, 17; 2, 2): Max: 23; Mean: 21.2396; Variance: 1.66135; Size: 96; Time: 39.8291 ms; Top5_Histogram_(relative_to_max): 0 48 0 25 23 ; iter: 0x7cf080;
Z(4, 18; 2, 2): Max: 24; Mean: 22.25; Variance: 1.6875; Size: 96; Time: 44.7943 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 19; 2, 2): Max: 25; Mean: 23.1458; Variance: 1.54123; Size: 96; Time: 38.0537 ms; Top5_Histogram_(relative_to_max): 0 50 0 28 18 ; iter: 0x7cf080;
Z(4, 20; 2, 2): Max: 26; Mean: 24.2083; Variance: 1.5816; Size: 96; Time: 42.2926 ms; Top5_Histogram_(relative_to_max): 0 48 0 28 20 ; iter: 0x7cf080;
Z(4, 21; 2, 2): Max: 27; Mean: 25.25; Variance: 1.6875; Size: 96; Time: 45.4244 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 22; 2, 2): Max: 28; Mean: 26.25; Variance: 1.6875; Size: 96; Time: 52.3744 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 23; 2, 2): Max: 29; Mean: 27.2292; Variance: 1.63498; Size: 96; Time: 43.575 ms; Top5_Histogram_(relative_to_max): 0 48 0 26 22 ; iter: 0x7cf080;
Z(4, 24; 2, 2): Max: 30; Mean: 28.25; Variance: 1.6875; Size: 96; Time: 45.0385 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 25; 2, 2): Max: 31; Mean: 29.25; Variance: 1.6875; Size: 96; Time: 50.5923 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 26; 2, 2): Max: 32; Mean: 30.25; Variance: 1.6875; Size: 96; Time: 56.9343 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 27; 2, 2): Max: 33; Mean: 31.25; Variance: 1.6875; Size: 96; Time: 48.3726 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 28; 2, 2): Max: 34; Mean: 32.25; Variance: 1.6875; Size: 96; Time: 50.4708 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 29; 2, 2): Max: 35; Mean: 33.25; Variance: 1.6875; Size: 96; Time: 55.1046 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 30; 2, 2): Max: 36; Mean: 34.25; Variance: 1.6875; Size: 96; Time: 64.4805 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 31; 2, 2): Max: 37; Mean: 35.2292; Variance: 1.63498; Size: 96; Time: 51.646 ms; Top5_Histogram_(relative_to_max): 0 48 0 26 22 ; iter: 0x7cf080;
Z(4, 32; 2, 2): Max: 38; Mean: 36.25; Variance: 1.6875; Size: 96; Time: 61.9675 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 33; 2, 2): Max: 39; Mean: 37.25; Variance: 1.6875; Size: 96; Time: 68.9908 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 34; 2, 2): Max: 40; Mean: 38.25; Variance: 1.6875; Size: 96; Time: 83.0346 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 35; 2, 2): Max: 41; Mean: 39.25; Variance: 1.6875; Size: 96; Time: 105.143 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
Z(4, 36; 2, 2): Max: 42; Mean: 40.5; Variance: 2.25; Size: 96; Time: 114.612 ms; Top5_Histogram_(relative_to_max): 0 48 0 0 48 ; iter: 0x7cf080;
Z(4, 37; 2, 2): Max: 43; Mean: 41.25; Variance: 1.6875; Size: 96; Time: 84.154 ms; Top5_Histogram_(relative_to_max): 0 48 0 24 24 ; iter: 0x7cf080;
