Z(6, 29; 5, 5): Max: 140; Mean: 140; Variance: 0; Size: 4; Time: 12.9007 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 30; 5, 5): Max: 144; Mean: 144; Variance: 0; Size: 4; Time: 8.9838 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 7; 5, 5): Max: 44; Mean: 44; Variance: 0; Size: 4; Time: 4.7585 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 8; 5, 5): Max: 50; Mean: 49; Variance: 1; Size: 4; Time: 4.534 ms; Top5_Histogram_(relative_to_max): 0 0 2 0 2 ; iter: [1,3];
Z(7, 9; 5, 5): Max: 56; Mean: 56; Variance: 0; Size: 4; Time: 5.3804 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 10; 5, 5): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 5.5521 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 11; 5, 5): Max: 66; Mean: 66; Variance: 0; Size: 4; Time: 7.0984 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 12; 5, 5): Max: 72; Mean: 71.5; Variance: 0.75; Size: 4; Time: 5.9032 ms; Top5_Histogram_(relative_to_max): 0 0 1 0 3 ; iter: [1,3];
Z(7, 13; 5, 5): Max: 78; Mean: 78; Variance: 0; Size: 4; Time: 7.0779 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 14; 5, 5): Max: 84; Mean: 83; Variance: 1; Size: 4; Time: 6.3974 ms; Top5_Histogram_(relative_to_max): 0 0 2 0 2 ; iter: [1,3];
Z(7, 15; 5, 5): Max: 88; Mean: 88; Variance: 0; Size: 4; Time: 9.0444 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(7, 16; 5, 5): Max: 93; Mean: 91.25; Variance: 1.6875; Size: 4; Time: 5.8109 ms; Top5_Histogram_(relative_to_max): 0 2 0 1 1 ; iter: [1,3];
Z(7, 17; 5, 5): Max: 98; Mean: 97.75; Variance: 0.1875; Size: 4; Time: 8.701 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 3 ; iter: [1,3];
Z(7, 18; 5, 5): Max: 103; Mean: 102.25; Variance: 0.1875; Size: 4; Time: 7.0536 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1 ; iter: [1,3];
Z(7, 19; 5, 5): Max: 108; Mean: 107; Variance: 0.5; Size: 4; Time: 10.6681 ms; Top5_Histogram_(relative_to_max): 0 0 1 2 1 ; iter: [1,3];
Z(7, 20; 5, 5): Max: 112; Mean: 111.75; Variance: 0.1875; Size: 4; Time: 7.983 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 3 ; iter: [1,3];
Z(7, 21; 5, 5): Max: 117; Mean: 116; Variance: 0.5; Size: 4; Time: 12.1462 ms; Top5_Histogram_(relative_to_max): 0 0 1 2 1 ; iter: [1,3];
Z(7, 22; 5, 5): Max: 122; Mean: 121.25; Variance: 0.1875; Size: 4; Time: 7.855 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 1 ; iter: [1,3];
Z(7, 23; 5, 5): Max: 126; Mean: 126; Variance: 0; Size: 4; Time: 15.3191 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
