Z(3, 12; 2, 2): Max: 15; Mean: 14.9885; Variance: 0.011377; Size: 5300; Time: 42.3843 ms; Top5_Histogram_(relative_to_max): 0 0 0 61 5239 ;
Z(3, 13; 2, 2): Max: 16; Mean: 15.9932; Variance: 0.00674632; Size: 5300; Time: 46.0209 ms; Top5_Histogram_(relative_to_max): 0 0 0 36 5264 ;
Z(3, 14; 2, 2): Max: 17; Mean: 16.9928; Variance: 0.00711841; Size: 5300; Time: 51.4834 ms; Top5_Histogram_(relative_to_max): 0 0 0 38 5262 ;
Z(3, 15; 2, 2): Max: 18; Mean: 17.9943; Variance: 0.00562834; Size: 5300; Time: 53.3003 ms; Top5_Histogram_(relative_to_max): 0 0 0 30 5270 ;
Z(3, 16; 2, 2): Max: 19; Mean: 18.9955; Variance: 0.0045078; Size: 5300; Time: 56.6468 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 5276 ;
Z(3, 17; 2, 2): Max: 20; Mean: 19.9975; Variance: 0.00244681; Size: 5300; Time: 62.2177 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 5287 ;
Z(3, 18; 2, 2): Max: 21; Mean: 20.997; Variance: 0.00300975; Size: 5300; Time: 63.723 ms; Top5_Histogram_(relative_to_max): 0 0 0 16 5284 ;
Z(3, 19; 2, 2): Max: 22; Mean: 21.9966; Variance: 0.00338469; Size: 5300; Time: 67.0554 ms; Top5_Histogram_(relative_to_max): 0 0 0 18 5282 ;
Z(3, 20; 2, 2): Max: 23; Mean: 22.9977; Variance: 0.00225902; Size: 5300; Time: 73.4698 ms; Top5_Histogram_(relative_to_max): 0 0 0 12 5288 ;
Z(3, 21; 2, 2): Max: 24; Mean: 23.9987; Variance: 0.00131901; Size: 5300; Time: 76.4916 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 5293 ;
Z(3, 22; 2, 2): Max: 25; Mean: 24.9989; Variance: 0.00113079; Size: 5300; Time: 79.349 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 5294 ;
Z(3, 23; 2, 2): Max: 26; Mean: 25.9985; Variance: 0.00150716; Size: 5300; Time: 87.359 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 5292 ;
Z(3, 24; 2, 2): Max: 27; Mean: 26.9994; Variance: 0.000565717; Size: 5300; Time: 89.1696 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5297 ;
Z(3, 25; 2, 2): Max: 28; Mean: 27.9994; Variance: 0.000565717; Size: 5300; Time: 92.7714 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5297 ;
Z(3, 26; 2, 2): Max: 29; Mean: 28.9989; Variance: 0.00113079; Size: 5300; Time: 102.222 ms; Top5_Histogram_(relative_to_max): 0 0 0 6 5294 ;
Z(3, 27; 2, 2): Max: 30; Mean: 29.9994; Variance: 0.000565717; Size: 5300; Time: 110.536 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5297 ;
Z(3, 28; 2, 2): Max: 31; Mean: 30.9996; Variance: 0.000377216; Size: 5300; Time: 110.541 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 5298 ;
Z(3, 29; 2, 2): Max: 32; Mean: 31.9996; Variance: 0.000377216; Size: 5300; Time: 117.369 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 5298 ;
Z(3, 30; 2, 2): Max: 33; Mean: 32.9998; Variance: 0.000188644; Size: 5300; Time: 123.806 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 5299 ;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 5300; Time: 122.607 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 5300 ;
