Z(3, 29; 2, 2): Max: 32; Mean: 31.9097; Variance: 0.0821277; Size: 144; Time: 28.4122 ms; Top5_Histogram_(relative_to_max): 0 0 0 13 131 ; iter: 0x65f080;
Z(3, 30; 2, 2): Max: 33; Mean: 32.9514; Variance: 0.0462481; Size: 144; Time: 31.6135 ms; Top5_Histogram_(relative_to_max): 0 0 0 7 137 ; iter: 0x65f080;
Z(3, 31; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 144; Time: 34.6996 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 32; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 144; Time: 29.7982 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 33; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 144; Time: 32.9722 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 34; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 144; Time: 33.316 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 35; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 144; Time: 36.3631 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 36; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 144; Time: 30.8394 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 144 ; iter: 0x65f080;
Z(3, 37; 2, 2): Max: 40; Mean: 39.8333; Variance: 0.138889; Size: 144; Time: 33.1041 ms; Top5_Histogram_(relative_to_max): 0 0 0 24 120 ; iter: 0x65f080;
Z(3, 38; 2, 2): Max: 41; Mean: 40.9236; Variance: 0.0705536; Size: 144; Time: 35.8794 ms; Top5_Histogram_(relative_to_max): 0 0 0 11 133 ; iter: 0x65f080;
Z(3, 39; 2, 2): Max: 42; Mean: 41.9722; Variance: 0.0270062; Size: 144; Time: 39.391 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 140 ; iter: 0x65f080;
Z(3, 40; 2, 2): Max: 43; Mean: 42.7986; Variance: 0.160831; Size: 144; Time: 32.8571 ms; Top5_Histogram_(relative_to_max): 0 0 0 29 115 ; iter: 0x65f080;
Z(4, 4; 2, 2): Max: 9; Mean: 8.61111; Variance: 0.41821; Size: 144; Time: 17.4205 ms; Top5_Histogram_(relative_to_max): 0 0 13 30 101 ; iter: 0x65f080;
Z(4, 5; 2, 2): Max: 10; Mean: 9.84444; Variance: 0.142469; Size: 180; Time: 19.2679 ms; Top5_Histogram_(relative_to_max): 0 0 1 26 153 ; iter: 0x65f080;
Z(4, 6; 2, 2): Max: 12; Mean: 11.4278; Variance: 0.244784; Size: 180; Time: 21.6032 ms; Top5_Histogram_(relative_to_max): 0 0 0 103 77 ; iter: 0x65f080;
Z(4, 7; 2, 2): Max: 13; Mean: 12.3194; Variance: 0.814622; Size: 144; Time: 17.6493 ms; Top5_Histogram_(relative_to_max): 0 13 4 51 76 ; iter: 0x65f080;
Z(4, 8; 2, 2): Max: 14; Mean: 13.4056; Variance: 0.285525; Size: 180; Time: 19.4212 ms; Top5_Histogram_(relative_to_max): 0 1 1 102 76 ; iter: 0x65f080;
Z(4, 9; 2, 2): Max: 15; Mean: 14.65; Variance: 0.238611; Size: 180; Time: 21.3985 ms; Top5_Histogram_(relative_to_max): 0 0 1 61 118 ; iter: 0x65f080;
