Z(3, 29; 4, 4): Max: 87; Mean: 87; Variance: 0; Size: 8; Time: 3.9179 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(3, 30; 4, 4): Max: 90; Mean: 90; Variance: 0; Size: 8; Time: 3.8735 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 4; 4, 4): Max: 15; Mean: 15; Variance: 0; Size: 8; Time: 3.158 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 5; 4, 4): Max: 18; Mean: 18; Variance: 0; Size: 8; Time: 3.3415 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 6; 4, 4): Max: 21; Mean: 21; Variance: 0; Size: 8; Time: 3.7227 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 7; 4, 4): Max: 24; Mean: 24; Variance: 0; Size: 8; Time: 3.1793 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 8; 4, 4): Max: 27; Mean: 27; Variance: 0; Size: 8; Time: 3.2451 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 9; 4, 4): Max: 30; Mean: 30; Variance: 0; Size: 8; Time: 3.3307 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 10; 4, 4): Max: 33; Mean: 33; Variance: 0; Size: 8; Time: 3.6479 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 11; 4, 4): Max: 36; Mean: 36; Variance: 0; Size: 8; Time: 3.2744 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 12; 4, 4): Max: 39; Mean: 39; Variance: 0; Size: 8; Time: 3.4328 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 13; 4, 4): Max: 42; Mean: 42; Variance: 0; Size: 8; Time: 3.7629 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(4, 14; 4, 4): Max: 45; Mean: 45; Variance: 0; Size: 8; Time: 4.3103 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
