Z(4, 36; 2, 2): Max: 42; Mean: 41.7299; Variance: 0.219151; Size: 18000; Time: 450.822 ms; Top5_Histogram_(relative_to_max): 0 66 0 4664 13270 ;
Z(4, 37; 2, 2): Max: 43; Mean: 42.736; Variance: 0.212971; Size: 18000; Time: 472.917 ms; Top5_Histogram_(relative_to_max): 0 56 0 4584 13360 ;
Z(4, 38; 2, 2): Max: 44; Mean: 43.7401; Variance: 0.214373; Size: 18000; Time: 492.783 ms; Top5_Histogram_(relative_to_max): 0 66 0 4481 13453 ;
Z(4, 39; 2, 2): Max: 45; Mean: 44.7453; Variance: 0.211839; Size: 18000; Time: 515.822 ms; Top5_Histogram_(relative_to_max): 0 66 0 4387 13547 ;
Z(4, 40; 2, 2): Max: 46; Mean: 45.7493; Variance: 0.208833; Size: 18000; Time: 541.744 ms; Top5_Histogram_(relative_to_max): 0 63 0 4323 13614 ;
Z(5, 5; 2, 2): Max: 12; Mean: 11.3423; Variance: 0.495457; Size: 18000; Time: 68.7955 ms; Top5_Histogram_(relative_to_max): 0 396 1245 8161 8198 ;
Z(5, 6; 2, 2): Max: 14; Mean: 12.8889; Variance: 0.569099; Size: 18000; Time: 85.3605 ms; Top5_Histogram_(relative_to_max): 191 369 3980 10169 3291 ;
Z(5, 7; 2, 2): Max: 15; Mean: 14.3216; Variance: 0.555844; Size: 18000; Time: 95.2299 ms; Top5_Histogram_(relative_to_max): 114 129 1968 7432 8357 ;
Z(5, 8; 2, 2): Max: 17; Mean: 15.6708; Variance: 0.57426; Size: 18000; Time: 107.837 ms; Top5_Histogram_(relative_to_max): 50 1009 5059 10220 1590 ;
Z(5, 9; 2, 2): Max: 18; Mean: 16.9554; Variance: 0.57151; Size: 18000; Time: 121.357 ms; Top5_Histogram_(relative_to_max): 16 476 3579 9923 3960 ;
Z(5, 10; 2, 2): Max: 20; Mean: 18.1894; Variance: 0.569444; Size: 18000; Time: 134.28 ms; Top5_Histogram_(relative_to_max): 224 2587 8793 6170 196 ;
Z(5, 11; 2, 2): Max: 21; Mean: 19.3668; Variance: 0.593919; Size: 18000; Time: 148.197 ms; Top5_Histogram_(relative_to_max): 141 1895 7567 7793 567 ;
Z(5, 12; 2, 2): Max: 22; Mean: 20.5181; Variance: 0.601339; Size: 18000; Time: 160.774 ms; Top5_Histogram_(relative_to_max): 73 1543 6292 8977 1083 ;
Z(5, 13; 2, 2): Max: 23; Mean: 21.6304; Variance: 0.603429; Size: 18000; Time: 175.379 ms; Top5_Histogram_(relative_to_max): 31 1348 5411 9524 1663 ;
Z(5, 14; 2, 2): Max: 24; Mean: 22.7258; Variance: 0.613999; Size: 18000; Time: 191.309 ms; Top5_Histogram_(relative_to_max): 17 1156 4680 9871 2248 ;
Z(5, 15; 2, 2): Max: 25; Mean: 23.7921; Variance: 0.606592; Size: 18000; Time: 206.193 ms; Top5_Histogram_(relative_to_max): 12 1086 4060 10185 2635 ;
Z(5, 16; 2, 2): Max: 26; Mean: 24.8671; Variance: 0.605785; Size: 18000; Time: 218.286 ms; Top5_Histogram_(relative_to_max): 6 950 3591 10204 3227 ;
Z(5, 17; 2, 2): Max: 27; Mean: 25.9211; Variance: 0.597934; Size: 18000; Time: 235.2 ms; Top5_Histogram_(relative_to_max): 6 873 3223 10224 3656 ;
Z(5, 18; 2, 2): Max: 28; Mean: 26.9722; Variance: 0.595503; Size: 18000; Time: 253.489 ms; Top5_Histogram_(relative_to_max): 1 787 2980 10068 4146 ;
Z(5, 19; 2, 2): Max: 29; Mean: 27.9974; Variance: 0.581938; Size: 18000; Time: 270.386 ms; Top5_Histogram_(relative_to_max): 0 756 2798 10105 4328 ;
Z(5, 20; 2, 2): Max: 30; Mean: 29.0254; Variance: 0.590019; Size: 18000; Time: 283.896 ms; Top5_Histogram_(relative_to_max): 1 714 2714 9878 4678 ;
Z(5, 21; 2, 2): Max: 31; Mean: 30.0671; Variance: 0.569941; Size: 18000; Time: 298.502 ms; Top5_Histogram_(relative_to_max): 0 651 2418 9925 4993 ;
Z(5, 22; 2, 2): Max: 32; Mean: 31.0941; Variance: 0.55481; Size: 18000; Time: 315.645 ms; Top5_Histogram_(relative_to_max): 0 603 2312 9831 5247 ;
Z(5, 23; 2, 2): Max: 33; Mean: 32.1215; Variance: 0.562516; Size: 18000; Time: 333.591 ms; Top5_Histogram_(relative_to_max): 1 619 2104 9690 5577 ;
Z(5, 24; 2, 2): Max: 34; Mean: 33.1509; Variance: 0.551788; Size: 18000; Time: 351.128 ms; Top5_Histogram_(relative_to_max): 0 557 1962 9617 5852 ;
Z(5, 25; 2, 2): Max: 35; Mean: 34.1721; Variance: 0.5416; Size: 18000; Time: 369.003 ms; Top5_Histogram_(relative_to_max): 0 544 1885 9470 6096 ;
Z(5, 26; 2, 2): Max: 36; Mean: 35.1873; Variance: 0.551427; Size: 18000; Time: 387.131 ms; Top5_Histogram_(relative_to_max): 0 541 1805 9330 6313 ;
Z(5, 27; 2, 2): Max: 37; Mean: 36.2094; Variance: 0.538434; Size: 18000; Time: 406.563 ms; Top5_Histogram_(relative_to_max): 0 505 1736 9202 6550 ;
Z(5, 28; 2, 2): Max: 38; Mean: 37.2263; Variance: 0.533521; Size: 18000; Time: 425.983 ms; Top5_Histogram_(relative_to_max): 0 504 1594 9179 6715 ;
Z(5, 29; 2, 2): Max: 39; Mean: 38.2244; Variance: 0.539372; Size: 18000; Time: 444.449 ms; Top5_Histogram_(relative_to_max): 0 502 1692 9035 6765 ;
Z(5, 30; 2, 2): Max: 40; Mean: 39.2558; Variance: 0.505133; Size: 18000; Time: 462.29 ms; Top5_Histogram_(relative_to_max): 0 428 1474 9134 6959 ;
Z(5, 31; 2, 2): Max: 41; Mean: 40.2765; Variance: 0.503048; Size: 18000; Time: 482.439 ms; Top5_Histogram_(relative_to_max): 0 402 1461 8871 7262 ;
Z(5, 32; 2, 2): Max: 42; Mean: 41.2773; Variance: 0.509061; Size: 18000; Time: 502.73 ms; Top5_Histogram_(relative_to_max): 0 423 1449 8818 7306 ;
Z(5, 33; 2, 2): Max: 43; Mean: 42.2904; Variance: 0.498285; Size: 18000; Time: 523.441 ms; Top5_Histogram_(relative_to_max): 0 394 1403 8767 7433 ;
Z(5, 34; 2, 2): Max: 44; Mean: 43.3033; Variance: 0.500878; Size: 18000; Time: 544.959 ms; Top5_Histogram_(relative_to_max): 0 378 1382 8606 7628 ;
Z(5, 35; 2, 2): Max: 45; Mean: 44.3221; Variance: 0.475356; Size: 18000; Time: 564.009 ms; Top5_Histogram_(relative_to_max): 0 341 1230 8695 7730 ;
Z(5, 36; 2, 2): Max: 46; Mean: 45.3276; Variance: 0.48493; Size: 18000; Time: 600.774 ms; Top5_Histogram_(relative_to_max): 0 348 1293 8456 7900 ;
Z(5, 37; 2, 2): Max: 47; Mean: 46.3444; Variance: 0.47858; Size: 18000; Time: 609.413 ms; Top5_Histogram_(relative_to_max): 0 347 1204 8339 8108 ;
Z(5, 38; 2, 2): Max: 48; Mean: 47.3458; Variance: 0.462216; Size: 18000; Time: 629.634 ms; Top5_Histogram_(relative_to_max): 0 310 1164 8506 8018 ;
Z(5, 39; 2, 2): Max: 49; Mean: 48.3563; Variance: 0.473011; Size: 18000; Time: 651.231 ms; Top5_Histogram_(relative_to_max): 0 323 1164 8266 8243 ;
Z(5, 40; 2, 2): Max: 50; Mean: 49.3687; Variance: 0.466322; Size: 18000; Time: 682.321 ms; Top5_Histogram_(relative_to_max): 0 307 1151 8128 8412 ;
Z(6, 6; 2, 2): Max: 16; Mean: 14.7161; Variance: 0.695431; Size: 18000; Time: 100.866 ms; Top5_Histogram_(relative_to_max): 77 1142 5162 8808 2762 ;
Z(6, 7; 2, 2): Max: 18; Mean: 16.3969; Variance: 0.706701; Size: 18000; Time: 120.79 ms; Top5_Histogram_(relative_to_max): 339 2004 6476 8299 839 ;
Z(6, 8; 2, 2): Max: 19; Mean: 17.9806; Variance: 0.715733; Size: 18000; Time: 135.934 ms; Top5_Histogram_(relative_to_max): 121 780 3339 8757 4987 ;
