Z(3, 32; 2, 2): Max: 35; Mean: 34.485; Variance: 0.249775; Size: 400; Time: 28.1907 ms; Top5_Histogram_(relative_to_max): 0 0 0 206 194 ; iter: 1, 3, 6, 12;
Z(3, 33; 2, 2): Max: 36; Mean: 35.87; Variance: 0.1131; Size: 400; Time: 30.8761 ms; Top5_Histogram_(relative_to_max): 0 0 0 52 348 ; iter: 1, 3, 6, 12;
Z(3, 34; 2, 2): Max: 37; Mean: 36.99; Variance: 0.0099; Size: 400; Time: 35.6409 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 396 ; iter: 1, 3, 6, 12;
Z(3, 35; 2, 2): Max: 38; Mean: 37.995; Variance: 0.004975; Size: 400; Time: 40.5518 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 398 ; iter: 1, 3, 6, 12;
Z(3, 36; 2, 2): Max: 39; Mean: 38.49; Variance: 0.2499; Size: 400; Time: 33.0182 ms; Top5_Histogram_(relative_to_max): 0 0 0 204 196 ; iter: 1, 3, 6, 12;
Z(3, 37; 2, 2): Max: 40; Mean: 39.82; Variance: 0.1476; Size: 400; Time: 35.9472 ms; Top5_Histogram_(relative_to_max): 0 0 0 72 328 ; iter: 1, 3, 6, 12;
Z(3, 38; 2, 2): Max: 41; Mean: 40.99; Variance: 0.0099; Size: 400; Time: 40.2651 ms; Top5_Histogram_(relative_to_max): 0 0 0 4 396 ; iter: 1, 3, 6, 12;
Z(3, 39; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 400; Time: 47.0851 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(3, 40; 2, 2): Max: 43; Mean: 42.535; Variance: 0.248775; Size: 400; Time: 38.0056 ms; Top5_Histogram_(relative_to_max): 0 0 0 186 214 ; iter: 1, 3, 6, 12;
Z(4, 4; 2, 2): Max: 9; Mean: 9; Variance: 0; Size: 400; Time: 7.1766 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 5; 2, 2): Max: 10; Mean: 10; Variance: 0; Size: 400; Time: 8.2995 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 6; 2, 2): Max: 12; Mean: 11.67; Variance: 0.2211; Size: 400; Time: 11.1158 ms; Top5_Histogram_(relative_to_max): 0 0 0 132 268 ; iter: 1, 3, 6, 12;
Z(4, 7; 2, 2): Max: 13; Mean: 12.18; Variance: 0.1476; Size: 400; Time: 9.2728 ms; Top5_Histogram_(relative_to_max): 0 0 0 328 72 ; iter: 1, 3, 6, 12;
Z(4, 8; 2, 2): Max: 14; Mean: 13.375; Variance: 0.234375; Size: 400; Time: 10.7112 ms; Top5_Histogram_(relative_to_max): 0 0 0 250 150 ; iter: 1, 3, 6, 12;
Z(4, 9; 2, 2): Max: 15; Mean: 14.615; Variance: 0.236775; Size: 400; Time: 12.5086 ms; Top5_Histogram_(relative_to_max): 0 0 0 154 246 ; iter: 1, 3, 6, 12;
Z(4, 10; 2, 2): Max: 16; Mean: 15.7; Variance: 0.21; Size: 400; Time: 15.66 ms; Top5_Histogram_(relative_to_max): 0 0 0 120 280 ; iter: 1, 3, 6, 12;
Z(4, 11; 2, 2): Max: 17; Mean: 16.17; Variance: 0.1411; Size: 400; Time: 12.611 ms; Top5_Histogram_(relative_to_max): 0 0 0 332 68 ; iter: 1, 3, 6, 12;
Z(4, 12; 2, 2): Max: 18; Mean: 17.555; Variance: 0.246975; Size: 400; Time: 14.5162 ms; Top5_Histogram_(relative_to_max): 0 0 0 178 222 ; iter: 1, 3, 6, 12;
Z(4, 13; 2, 2): Max: 19; Mean: 18.005; Variance: 0.004975; Size: 400; Time: 18.6366 ms; Top5_Histogram_(relative_to_max): 0 0 0 398 2 ; iter: 1, 3, 6, 12;
Z(4, 14; 2, 2): Max: 19; Mean: 18.905; Variance: 0.085975; Size: 400; Time: 27.1508 ms; Top5_Histogram_(relative_to_max): 0 0 0 38 362 ; iter: 1, 3, 6, 12;
Z(4, 15; 2, 2): Max: 21; Mean: 20.025; Variance: 0.024375; Size: 400; Time: 16.4873 ms; Top5_Histogram_(relative_to_max): 0 0 0 390 10 ; iter: 1, 3, 6, 12;
Z(4, 16; 2, 2): Max: 22; Mean: 20.99; Variance: 0.1099; Size: 400; Time: 23.6525 ms; Top5_Histogram_(relative_to_max): 0 0 24 356 20 ; iter: 1, 3, 6, 12;
Z(4, 17; 2, 2): Max: 23; Mean: 22.44; Variance: 0.2864; Size: 400; Time: 50.4879 ms; Top5_Histogram_(relative_to_max): 0 0 8 208 184 ; iter: 1, 3, 6, 12;
Z(4, 18; 2, 2): Max: 24; Mean: 23.51; Variance: 0.2499; Size: 400; Time: 44.8084 ms; Top5_Histogram_(relative_to_max): 0 0 0 196 204 ; iter: 1, 3, 6, 12;
Z(4, 19; 2, 2): Max: 25; Mean: 24.03; Variance: 0.0291; Size: 400; Time: 21.2466 ms; Top5_Histogram_(relative_to_max): 0 0 0 388 12 ; iter: 1, 3, 6, 12;
Z(4, 20; 2, 2): Max: 26; Mean: 25.37; Variance: 0.2331; Size: 400; Time: 72.3272 ms; Top5_Histogram_(relative_to_max): 0 0 0 252 148 ; iter: 1, 3, 6, 12;
Z(4, 21; 2, 2): Max: 27; Mean: 26.84; Variance: 0.1344; Size: 400; Time: 35.4303 ms; Top5_Histogram_(relative_to_max): 0 0 0 64 336 ; iter: 1, 3, 6, 12;
Z(4, 22; 2, 2): Max: 28; Mean: 27.68; Variance: 0.2176; Size: 400; Time: 49.8135 ms; Top5_Histogram_(relative_to_max): 0 0 0 128 272 ; iter: 1, 3, 6, 12;
Z(4, 23; 2, 2): Max: 29; Mean: 28.065; Variance: 0.060775; Size: 400; Time: 27.7802 ms; Top5_Histogram_(relative_to_max): 0 0 0 374 26 ; iter: 1, 3, 6, 12;
Z(4, 24; 2, 2): Max: 30; Mean: 29.9; Variance: 0.09; Size: 400; Time: 52.9548 ms; Top5_Histogram_(relative_to_max): 0 0 0 40 360 ; iter: 1, 3, 6, 12;
