Z(4, 11; 2, 2): Max: 17; Mean: 17; Variance: 0; Size: 400; Time: 9.3701 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 12; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 10.3541 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 13; 2, 2): Max: 19; Mean: 19; Variance: 0; Size: 400; Time: 11.9388 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 14; 2, 2): Max: 20; Mean: 20; Variance: 0; Size: 400; Time: 14.6591 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 15; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 11.4281 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 16; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 12.7077 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 17; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 400; Time: 14.4097 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 18; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 17.6099 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 19; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 13.0268 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 20; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 14.5333 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 21; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 400; Time: 16.6081 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 22; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 20.2925 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 23; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 14.7144 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 24; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 16.3657 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 25; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 19.1663 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 26; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 23.84 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 27; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 400; Time: 16.8566 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 28; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 19.1723 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 29; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 21.8353 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(4, 30; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 27.0424 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
